ds,dep_var,trend,season,holiday,competitor_sales_B,events,tv_S,ooh_S,print_S,facebook_I,search_clicks_P,newsletter,intercept,depVarHat,solID
2016-11-21,2964696.66666667,682517.308478494,410641.686504119,0,1256785.8277757,0,198247.533181322,115755.465983137,70411.3279704034,49620.1844935383,2787.02642080988,77851.9332483112,0,2864618.29405583,1_10_5
2016-11-28,2848525,682734.112886442,333384.905440118,0,1299198.56722197,0,99337.7694053696,75346.3211453836,39935.909272398,45832.4381782344,46110.9003059388,109519.8442937,0,2731400.76814955,1_10_5
2016-12-05,2740160,682950.917279772,260556.469249456,0,1146137.62325324,0,90322.8925280196,134234.191998066,996.366038035177,36092.4379150327,46666.183469411,168302.002404433,0,2566259.08413547,1_10_5
2016-12-12,2380508.33333333,683167.721673103,243699.361395788,0,1100211.51773582,0,37250.3459923576,90804.8928397391,21.0666187587381,36399.9321813277,43224.7945018814,113898.059726193,0,2348677.69266496,1_10_5
2016-12-19,2230915,683384.526066434,275895.513819198,-315768.513291567,992049.337751699,0,14132.7492585437,148430.780169415,0.44372580291114,29644.8513806844,40991.5479871101,24608.6261932442,0,1893369.86306056,1_10_5
2016-12-26,3659425,683601.330459765,302094.672715136,1012977.07544064,1075966.75863584,0,309629.417902492,103531.388909696,0.00934543630939178,45945.0272329824,49206.5258574723,1783.15203615552,0,3584735.35853561,1_10_5
2017-01-02,2827008.33333333,683818.134853096,277375.253636196,0,1043672.37985466,0,300500.378229277,160952.755138155,208117.44637952,45889.9269120955,45271.5189349703,144310.660031318,0,2909908.45396929,1_10_5
2017-01-09,2042143.33333333,684034.939246427,208304.210873813,0,948631.944304096,0,189091.668243138,115432.309805361,23325.6256128638,45977.7102247674,46032.2914518557,107905.407383862,0,2368736.10714618,1_10_5
2017-01-16,2113358.33333333,684250.982190538,137266.503715596,0,932695.275719412,0,115094.181764423,75086.3666049742,7777.3855082474,45469.637364083,45788.3498624174,138442.322582294,0,2181871.00531198,1_10_5
2017-01-23,2179918.33333333,684467.025134649,95401.6971730698,0,974036.551255705,0,49475.7807008686,45122.5629511016,113023.032827169,50620.5724431805,45605.5455738259,74090.4144018535,0,2131843.18246142,1_10_5
2017-01-30,2370613.33333333,684683.068078759,78142.8850819752,0,987857.433545818,0,154983.591572189,25664.5062963523,4258.49889658855,47275.3827521775,47374.371682747,106739.183687887,0,2136978.92159449,1_10_5
2017-02-06,1814556.66666667,684899.11102287,62023.8120688866,0,841899.496365098,0,71497.1153016445,14106.8986581222,91.2048524692086,26149.0064621112,40689.9801178029,21383.9029298061,0,1762740.52777881,1_10_5
2017-02-13,1951668.33333333,685115.153966981,33120.7594961427,0,875543.99205025,0,28603.4653925279,106600.53671996,1.92157207319219,49218.705070855,12956.4592335331,58690.9131785905,0,1849851.90668091,1_10_5
2017-02-20,1918238.33333333,685331.196911092,-6122.22913502004,0,854281.460247654,0,10712.4154088194,68112.4112076919,109121.347678922,27646.6343623366,3145.56786022387,70305.2451439714,0,1822534.04968569,1_10_5
2017-02-27,1472390,685547.239855203,-49429.4219419084,0,668385.255612298,0,3907.85794910896,40399.8063826099,4002.47718284068,56042.992865163,33165.9163147466,102656.644781191,0,1544678.76900125,1_10_5
2017-03-06,1477865,685763.275024875,-94021.8526583024,0,652613.941551523,0,1411.64441235135,22786.0762797463,143134.412833411,33295.4883301898,39158.8279021307,52339.7971652659,0,1536481.61084119,1_10_5
2017-03-13,1300166.66666667,685979.310194547,-134857.902690808,0,573356.790170365,0,11856.6396703125,12462.7892734481,6828.34855234206,16591.4085120195,37979.0486608984,96003.0612367014,0,1306199.49357983,1_10_5
2017-03-20,1160205,686195.345364219,-162604.438654946,0,503631.603318587,0,4332.45708229627,6697.7085237141,180814.285257345,7392.32011294379,32875.8200828063,94576.1840117166,0,1353911.28509868,1_10_5
2017-03-27,1356871.66666667,686411.380533891,-175924.399342773,0,623119.733066655,0,1565.97820640939,53536.4500097891,12933.0682737774,34439.7056416606,38917.1440577562,108166.725732393,0,1383165.78617956,1_10_5
2017-04-03,1355833.33333333,686627.415703563,-191278.55935336,0,629598.345583404,0,563.785754405747,30914.7971136995,286.863301920757,17301.9148918642,34062.3919994091,13252.2680524761,0,1221329.22304738,1_10_5
2017-04-10,1176266.66666667,686843.450873236,-228878.736308067,24548.2317052022,516544.984349533,0,202.684232470407,161813.918264459,6.04847015276334,7743.75916281144,29969.8186592215,1387.46755399773,0,1200181.62696302,1_10_5
2017-04-17,1955281.66666667,687059.486042908,-284898.236904361,963388.253795971,425618.786486041,0,5063.02052527489,116275.484132941,0.127391349469434,3267.03394935339,30264.4345823517,18573.2056361266,0,1964611.59563796,1_10_5
2017-04-24,1029928.33333333,687270.799996413,-326166.14557898,0,460618.688192938,0,1831.96552399066,146997.618150918,0.0026830224104371,1342.27388286902,29712.0827970583,51055.7206075318,0,1052663.00625576,1_10_5
2017-05-01,2263143.33333333,687482.113949917,-322729.608627002,354327.38110117,393463.455827243,0,91182.1326283842,102210.82131277,5.65078067067327e-05,545.343821873589,27370.4732442371,15636.6091198554,0,1349488.72243496,1_10_5
2017-05-08,813771.666666667,687693.427903422,-285238.074610985,0,362559.001520614,0,37657.7597461304,146267.491995741,1.19012505212711e-06,220.548417826668,24687.6196349468,16547.2894375848,0,990395.06404647,1_10_5
2017-05-15,880871.666666667,687904.741856927,-260336.108502947,0,409279.727389048,0,14296.1068320859,101541.230034438,2.50655214198231e-08,89.0280275637605,6663.179192474,56763.1648768024,0,1016201.06970642,1_10_5
2017-05-22,919185,688116.055810432,-282831.787918389,-58504.0425354632,421039.106435369,0,5242.42480868774,88144.8397871222,5.27911216490929e-10,39626.3816629208,1534.94657859026,69758.7811447067,0,972126.705773976,1_10_5
2017-05-29,826321.666666667,688327.369763936,-336946.860632051,0,373169.667700078,0,1897.36948611679,54308.5819197115,66171.2320816656,20673.928448809,21981.1259777589,18462.1098953571,0,908044.524641381,1_10_5
